Date,amzn
2/01/2018,1189.01001
3/01/2018,1204.199951
4/01/2018,1209.589966
5/01/2018,1229.140015
8/01/2018,1246.869995
9/01/2018,1252.699951
10/01/2018,1254.329956
11/01/2018,1276.680054
12/01/2018,1305.199951
16/01/2018,1304.859985
17/01/2018,1295
18/01/2018,1293.319946
19/01/2018,1294.579956
22/01/2018,1327.310059
23/01/2018,1362.540039
24/01/2018,1357.51001
25/01/2018,1377.949951
26/01/2018,1402.050049
29/01/2018,1417.680054
30/01/2018,1437.819946
31/01/2018,1450.890015
1/02/2018,1390
2/02/2018,1429.949951
5/02/2018,1390
6/02/2018,1442.839966
7/02/2018,1416.780029
8/02/2018,1350.5
9/02/2018,1339.599976
12/02/2018,1386.22998
13/02/2018,1414.51001
14/02/2018,1451.050049
15/02/2018,1461.76001
16/02/2018,1448.689941
20/02/2018,1468.349976
21/02/2018,1482.920044
22/02/2018,1485.339966
23/02/2018,1500
26/02/2018,1521.949951
27/02/2018,1511.97998
28/02/2018,1512.449951
1/03/2018,1493.449951
2/03/2018,1500.25
5/03/2018,1523.609985
6/03/2018,1537.640015
7/03/2018,1545
8/03/2018,1551.859985
9/03/2018,1578.890015
12/03/2018,1598.390015
13/03/2018,1588.180054
14/03/2018,1591
15/03/2018,1582.319946
16/03/2018,1571.680054
19/03/2018,1544.930054
20/03/2018,1586.51001
21/03/2018,1581.859985
22/03/2018,1544.920044
23/03/2018,1495.560059
26/03/2018,1555.859985
27/03/2018,1497.050049
28/03/2018,1431.420044
29/03/2018,1447.339966
2/04/2018,1371.98999
3/04/2018,1392.050049
4/04/2018,1410.569946
5/04/2018,1451.75
6/04/2018,1405.22998
9/04/2018,1406.079956
10/04/2018,1436.219971
11/04/2018,1427.050049
12/04/2018,1448.5
13/04/2018,1430.790039
16/04/2018,1441.5
17/04/2018,1503.829956
18/04/2018,1527.839966
19/04/2018,1556.910034
20/04/2018,1527.48999
23/04/2018,1517.859985
24/04/2018,1460.089966
25/04/2018,1460.170044
26/04/2018,1517.959961
27/04/2018,1572.619995
30/04/2018,1566.130005
1/05/2018,1582.26001
2/05/2018,1569.680054
3/05/2018,1572.079956
4/05/2018,1580.949951
7/05/2018,1600.140015
8/05/2018,1592.390015
9/05/2018,1608
10/05/2018,1609.079956
11/05/2018,1602.910034
14/05/2018,1601.540039
15/05/2018,1576.119995
16/05/2018,1587.280029
17/05/2018,1581.76001
18/05/2018,1574.369995
21/05/2018,1585.459961
22/05/2018,1581.400024
23/05/2018,1601.859985
24/05/2018,1603.069946
25/05/2018,1610.150024
29/05/2018,1612.869995
30/05/2018,1624.890015
31/05/2018,1629.619995
1/06/2018,1641.540039
4/06/2018,1665.27002
5/06/2018,1696.349976
6/06/2018,1695.75
7/06/2018,1689.300049
8/06/2018,1683.98999
11/06/2018,1689.119995
12/06/2018,1698.75
13/06/2018,1704.859985
14/06/2018,1723.859985
15/06/2018,1715.969971
18/06/2018,1723.790039
19/06/2018,1734.780029
20/06/2018,1750.079956
21/06/2018,1730.219971
22/06/2018,1715.670044
25/06/2018,1663.150024
26/06/2018,1691.089966
27/06/2018,1660.51001
28/06/2018,1701.449951
29/06/2018,1699.800049
2/07/2018,1713.780029
3/07/2018,1693.959961
5/07/2018,1699.72998
6/07/2018,1710.630005
9/07/2018,1739.02002
10/07/2018,1743.069946
11/07/2018,1755
12/07/2018,1796.619995
13/07/2018,1813.030029
16/07/2018,1822.48999
17/07/2018,1843.930054
18/07/2018,1842.920044
19/07/2018,1812.969971
